business_id,business_name,business_time
042E0117,旅客检索清空按钮,2024-04-01 05:00:34.557
042E0117,旅客检索清空按钮,2024-04-01 05:00:35.218
042E0115,旅客提取页签检索按钮,2024-04-01 05:00:36.732
040O0200,值机页面加载,2024-04-01 05:00:42.313
040O0211,点击座位图刷新,2024-04-01 05:00:42.763
040O0204,旅客处理按钮,2024-04-01 05:00:45.872
042E0121,从其他页面返回检索页刷新,2024-04-01 05:01:02.652
042E0117,旅客检索清空按钮,2024-04-01 05:01:03.087
042E0117,旅客检索清空按钮,2024-04-01 05:01:03.391
042E0117,旅客检索清空按钮,2024-04-01 05:01:03.665
042E0117,旅客检索清空按钮,2024-04-01 05:01:03.919
042E0117,旅客检索清空按钮,2024-04-01 05:01:04.159
042E0115,旅客提取页签检索按钮,2024-04-01 05:01:10.356
040O0200,值机页面加载,2024-04-01 05:01:12.146
040O0211,点击座位图刷新,2024-04-01 05:01:12.775
040O0204,旅客处理按钮,2024-04-01 05:01:15.810
042E0121,从其他页面返回检索页刷新,2024-04-01 05:01:32.275
042E0117,旅客检索清空按钮,2024-04-01 05:01:33.031
042E0117,旅客检索清空按钮,2024-04-01 05:01:33.344
042E0115,旅客提取页签检索按钮,2024-04-01 05:01:37.518
040O0200,值机页面加载,2024-04-01 05:01:42.080
040O0211,点击座位图刷新,2024-04-01 05:01:42.702
040O0204,旅客处理按钮,2024-04-01 05:01:45.220
042E0121,从其他页面返回检索页刷新,2024-04-01 05:02:01.810
042E0117,旅客检索清空按钮,2024-04-01 05:02:02.224
042E0105,查询办理历史按钮,2024-04-01 05:02:02.834
042E0105,查询办理历史按钮,2024-04-01 05:02:04.813
042E0117,旅客检索清空按钮,2024-04-01 05:02:10.367
042E0105,查询办理历史按钮,2024-04-01 05:02:11.136
042E0117,旅客检索清空按钮,2024-04-01 05:02:18.960
042E0117,旅客检索清空按钮,2024-04-01 05:02:19.349
042E0115,旅客提取页签检索按钮,2024-04-01 05:02:24.285
040O0200,值机页面加载,2024-04-01 05:02:30.281
040O0211,点击座位图刷新,2024-04-01 05:02:30.707
042E0121,从其他页面返回检索页刷新,2024-04-01 05:02:35.038
042E0115,旅客提取页签检索按钮,2024-04-01 05:02:44.836
042E0118,序号输入框选中旅客,2024-04-01 05:02:46.283
042E0115,旅客提取页签检索按钮,2024-04-01 05:02:47.905
042E0118,序号输入框选中旅客,2024-04-01 05:02:49.240
040O0200,值机页面加载,2024-04-01 05:02:50.377
040O0211,点击座位图刷新,2024-04-01 05:02:50.829
040O0262,旅客处理-刷新,2024-04-01 05:03:16.963
040O0262,旅客处理-刷新,2024-04-01 05:03:18.463
040O0204,旅客处理按钮,2024-04-01 05:03:21.985
040O0204,旅客处理按钮,2024-04-01 05:03:44.320
042E0121,从其他页面返回检索页刷新,2024-04-01 05:03:57.244
042E0117,旅客检索清空按钮,2024-04-01 05:03:57.712
042E0102,旅客查询页签检索按钮,2024-04-01 05:04:00.370
042E0102,旅客查询页签检索按钮,2024-04-01 05:04:16.933
